"name","super_class","sys_package"
"sn_cmp_pol_execution","","80d50579eb203200979aa5115206fedd"
"cmdb_ci_epic_cache","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"sla_repair_log_message0003","syslog0003","966ead20a9e0211076daa554cb57d968"
"ts_c_2_5","",""
"service_scope","sys_metadata","908e2960a9e0211076daa554cb57d9fe"
"pa_diagnostic","sys_metadata","b2881e900b3003001e684ac3b6673a93"
"sn_diagram_builder_shape_template","sys_metadata","1cf7ad026abf3abab12e761ddaa6e9df"
"sn_test_management_step_result","","78fa9e075bb1030036c32c1cf0f91a70"
"sys_replication_queue5","","9b976da0a920211076daa554cb57d951"
"ts_c_4_5","",""
"cmdb_ci_ot_control_module","cmdb_ci_ot_control","ae99d84b2320330006c0110d96bf65b3"
"dms_type","","56a9c7d09712e910da6cdc04a253afd0"
"sys_flow_val_listener","","8cc0f12ca9e0211076daa554cb57d9b2"
"sys_hub_action_plan_chunk","","8cc0f12ca9e0211076daa554cb57d9b2"
"sn_communities_profile_privacy_setting","","10809a9edb866200b1f6f78eaf961904"
"sys_scope_privilege","sys_metadata","49d86968a920211076daa554cb57d985"
"sn_hamp_m2m_audit_asset","","6cd246601b9e0010cf95dd33dd4bcb8a"
"sys_cs_hostname_allow_list","","05d57524a964211076daa554cb57d9a6"
"sn_hr_ef_security_policy","sys_metadata","1baeb0339371030092051d1e867ffb08"
"ml_solution_form_processing_rule_set","","3cf8a5a8a920211076daa554cb57d9ec"
"ml_autopurity_config","","3cf8a5a8a920211076daa554cb57d9ec"
"cmdb_ci_san_endpoint","cmdb_ci","9c79296ca920211076daa554cb57d956"
"sn_hr_le_activity","sn_hr_le_activity_base","532da270dad21200a4656ede91f9331e"
"cmdb_class_relationships","","9c79296ca920211076daa554cb57d956"
"sys_index_suggestion","","452969e8a920211076daa554cb57d94b"
"sn_bcm_document","sys_metadata","3ff1278f132a40103423f8fed144b091"
"sysrule_quota","sysrule","61376d20a920211076daa554cb57d99b"
"sn_capi_config_parameter","sys_metadata","0f7325250b21220033bc05ae37673a53"
"expert_script_client","sys_script_client","653d29a8a9a0211076daa554cb57d941"
"sn_ca_tracked_action","","bde72a4753710300d901a7e6a11c0838"
"ip_service_affinity","","731ee5eca9a0211076daa554cb57d984"
"automation_error_code_stats","","8f2ae86d9f323200a0d5b10f842e709b"
"cmdb_ci_endpoint_sharepoint_service","cmdb_ci_endpoint_inclusion","9c79296ca920211076daa554cb57d956"
"sn_ti_attachment","","8b068223eb120200cb3aa9bcf106fe82"
"cmdb_ci_chassis_server","cmdb_ci_server_hardware","9c79296ca920211076daa554cb57d956"
"isc_security_frameworks","","df61fdeca9e0211076daa554cb57d95d"
"cmdb_ci_firewall_device","cmdb_ci_ip_firewall","ae99d84b2320330006c0110d96bf65b3"
"sla_async_queue","","966ead20a9e0211076daa554cb57d968"
"v_st_sc_category","","2263a68187032300e0ef0cf888cb0b3f"
"promin_activity_def","","06572eae87126550efbf1f473cbb353a"
"sn_mh_important_dates_config","sys_metadata","d20a85536b30011024ca2421ee44affa"
"cmdb_alias","","9c79296ca920211076daa554cb57d956"
"clone","","57976da0a920211076daa554cb57d951"
"cmdb_ci_appl_biztalk","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"cmdb_ci_service_group","cmdb_ci_service","a5b13d60a924211076daa554cb57d949"
"sc_wizard_section","sys_metadata","42c23de4a924211076daa554cb57d995"
"sys_update_collision_xml","","82c82568a920211076daa554cb57d99f"
"sys_update_preview_xml","","82c82568a920211076daa554cb57d99f"
"sys_scope_design_access","sys_metadata","11d86968a920211076daa554cb57d9ca"
"sc_service_fulfillment_step_configuration","sys_metadata","31d2b128a924211076daa554cb57d929"
"sys_one_extend_builder_capability","sys_metadata","75d5b524a964211076daa554cb57d9a9"
"sys_kmf_key_lifecycle_default_line","sys_metadata","c515f25b53332300cd1eddeeff7b126e"
"cmdb_ci_nsx_lb","cmdb_ci_lb","ae99d84b2320330006c0110d96bf65b3"
"sys_hub_action_input","var_dictionary","e4d0392ca9e0211076daa554cb57d9f5"
"sn_vdr_risk_asmt_type_criteria","sys_metadata","4c821a2d9f42220030581471367fcf2c"
"capi_action_mapping","capi_base_action_mapping","0f7325250b21220033bc05ae37673a53"
"unauth_chg_notifications","","b4ec6d28a9a0211076daa554cb57d96c"
"remediation_rule","sys_metadata","9c79296ca920211076daa554cb57d956"
